EmpID,FirstName,LastName,Performance Score,Current Employee Rating
3454,Leon,Beard,Needs Improvement,4
3460,Alisa,James,Fully Meets,3
3465,Willow,Stuart,Needs Improvement,3
3492,Vicente,Merritt,Fully Meets,1
3493,Hugo,Clay,Fully Meets,5
3526,Darius,Krause,Fully Meets,4
3531,Ronnie,Mayer,Fully Meets,1
3534,Lee,Frye,Fully Meets,4
3567,Nader,Barton,Fully Meets,4
3580,Davion,Sanchez,Fully Meets,4
3585,Edward,Everett,Fully Meets,4
3617,Bailey,Collier,Fully Meets,1
3637,Abdullah,Pruitt,Fully Meets,3
3643,Issac,Whitehead,Fully Meets,3
3651,Jeremy,Meyer,Fully Meets,3
3660,Aron,Hester,Exceeds,3
3677,Dayami,Bailey,Fully Meets,3
3678,Ramon,Fleming,Fully Meets,3
3679,Pedro,Harrison,Fully Meets,3
3749,Kayden,Soto,Fully Meets,4
3769,Ivan,Wright,Fully Meets,3
3791,Bentley,Rush,Fully Meets,3
3793,Roselyn,Roberts,Fully Meets,3
3802,Amiyah,Ramirez,Fully Meets,3
3841,Paris,Simpson,Fully Meets,3
3858,Bailey,Humphrey,Fully Meets,3
3871,Kamari,Mcgrath,Fully Meets,3
3892,Maxwell,Mcpherson,Fully Meets,3
3894,Yesenia,Nielsen,Fully Meets,3
3903,Hezekiah,Thompson,Fully Meets,3
3924,Walter,Zuniga,Fully Meets,3
3926,Jeffery,Gamble,Needs Improvement,3
3935,Arjun,Tyler,Fully Meets,3
3944,Julia,Zhou,Fully Meets,3
3952,Kramer,Simard,Fully Meets,3
3953,Mark,Griffith,Fully Meets,3
3961,Maddison,Perez,Fully Meets,3
3977,Gordon,Wu,Fully Meets,3
3980,Carmen,Atkins,Exceeds,3
3983,Kaylie,Velazquez,Exceeds,3
3994,Taylor,Dennis,Fully Meets,3
1057,Sophie,Decker,Fully Meets,3
1073,Sean,Bean,Fully Meets,3
1108,Barry,Wilber,Fully Meets,3
1123,Giuliana,Farmer,Fully Meets,3
1127,Axel,Hart,Fully Meets,3
1152,Jadyn,Haley,Fully Meets,3
1165,Isiah,Decker,Fully Meets,3
1180,Allan,Butler,Fully Meets,3
1191,Kaitlynn,Herman,Fully Meets,3
1192,Marquise,Santana,Fully Meets,3
1214,Jaliyah,Gamble,Fully Meets,3
1226,Dayton,Castro,Fully Meets,3
1232,Abbigail,Cameron,Fully Meets,3
1235,Aliana,Pena,Fully Meets,3
1263,Barrett,Jennings,Fully Meets,3
1264,Darius,Koch,Fully Meets,3
1276,Lucas,Good,Fully Meets,3
1283,Taniya,Stafford,Fully Meets,3
1289,Janiyah,Ballard,Fully Meets,3
1290,Annika,Malone,Fully Meets,3
1295,Emery,Schmidt,Fully Meets,3
1312,Irene,Melton,Fully Meets,3
1345,Seth,Alvarez,Fully Meets,3
1363,Hadley,Barrett,PIP,3
1402,Linda,Bachiochi,Exceeds,3
1423,Azaria,Young,Needs Improvement,3
1431,Kaley,Ali,Exceeds,3
1452,Tyrese,Goodman,Needs Improvement,3
1484,Lorena,Mahoney,Exceeds,3
1507,Evelin,Sellers,Fully Meets,3
1509,Marlee,Mathis,Fully Meets,3
1522,Amara,Castillo,Fully Meets,3
1586,Eugene,Reyes,Fully Meets,3
1604,Ansley,Duke,Exceeds,3
